Date,Destination Airport,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes),AWND,PCRP,SNOW,AVGT
1/3/2016,SNA,-3,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,JFK,6,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,MCO,84,0,21,0,0,54,5.2,0,0,-2.9
1/3/2016,SAN,0,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,RDU,72,0,3,0,0,55,5.2,0,0,-2.9
1/3/2016,BOS,-2,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,SFO,110,0,0,80,0,0,5.2,0,0,-2.9
1/3/2016,SNA,23,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,MIA,0,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,SFO,54,0,19,0,0,0,5.2,0,0,-2.9
1/3/2016,BOS,37,0,27,0,0,0,5.2,0,0,-2.9
1/3/2016,LAS,0,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,DCA,-6,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,MIA,43,27,0,0,0,13,5.2,0,0,-2.9
1/3/2016,MIA,8,8,0,56,0,0,5.2,0,0,-2.9
1/3/2016,PDX,67,0,39,0,0,0,5.2,0,0,-2.9
1/3/2016,LGA,61,13,26,0,0,0,5.2,0,0,-2.9
1/3/2016,LGA,45,0,45,0,0,0,5.2,0,0,-2.9
1/3/2016,LGA,25,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,STL,-4,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,LGA,1,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,LGA,17,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,BOS,24,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,LGA,23,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,LGA,13,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,LGA,-4,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,LGA,-2,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,LGA,-2,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,LGA,-5,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,SJU,0,0,0,18,0,0,5.2,0,0,-2.9
1/3/2016,PHX,-5,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,PHL,16,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,PHX,12,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,CLT,0,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,PHX,0,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,PHL,1,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,PHL,0,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,PHL,-4,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,PHL,16,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,CLT,-6,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,CLT,-6,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,DFW,54,0,7,0,0,10,5.2,0,0,-2.9
1/3/2016,RSW,3,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,RSW,-3,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,MCO,186,40,9,0,0,134,5.2,0,0,-2.9
1/3/2016,MCI,113,0,1,0,0,97,5.2,0,0,-2.9
1/3/2016,LAX,-2,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,MIA,-6,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,FLL,121,0,26,0,0,60,5.2,0,0,-2.9
1/3/2016,MCO,30,29,0,0,0,0,5.2,0,0,-2.9
1/3/2016,PBI,12,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,PSP,-2,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,SFO,-3,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,PHX,-8,0,0,0,0,0,5.2,0,0,-2.9
1/3/2016,EGE,39,23,11,21,0,5,5.2,0,0,-2.9
1/3/2016,BOS,15,0,0,0,0,0,5.2,0,0,-2.9
